ensembl_gene_id	external_gene_name	salt	hog1DepSaltExt
15S_rRNA		unresponsive	unresponsive
21S_rRNA		unresponsive	unresponsive
HRA1		unresponsive	unresponsive
ICR1		unresponsive	unresponsive
LSR1		unresponsive	unresponsive
NME1		unresponsive	unresponsive
PWR1		unresponsive	unresponsive
Q0045	COX1	unresponsive	unresponsive
Q0050	AI1	unresponsive	unresponsive
Q0055	AI2	unresponsive	unresponsive
Q0085	ATP6	unresponsive	unresponsive
Q0250	COX2	unresponsive	unresponsive
Q0275	COX3	unresponsive	unresponsive
RDN5-1		unresponsive	unresponsive
RNA170		unresponsive	unresponsive
RPR1		unresponsive	unresponsive
RUF20		unresponsive	unresponsive
RUF21		unresponsive	unresponsive
RUF23		unresponsive	unresponsive
RUF5-2		unresponsive	unresponsive
SCR1		unresponsive	unresponsive
snR10		unresponsive	unresponsive
snR11		unresponsive	unresponsive
snR128		unresponsive	unresponsive
snR13		unresponsive	unresponsive
snR14		unresponsive	unresponsive
snR161		unresponsive	unresponsive
snR17a		unresponsive	unresponsive
snR17b		unresponsive	unresponsive
snR18		unresponsive	unresponsive
snR189		unresponsive	unresponsive
snR19		unresponsive	unresponsive
snR190		unresponsive	unresponsive
snR191		unresponsive	unresponsive
snR24		downregulated	downregulated_Hog1_independent
snR3		unresponsive	unresponsive
snR30		unresponsive	unresponsive
snR31		downregulated	downregulated_Hog1_independent
snR32		unresponsive	unresponsive
snR33		downregulated	downregulated_Hog1_independent
snR34		unresponsive	unresponsive
snR35		unresponsive	unresponsive
snR36		unresponsive	unresponsive
snR37		unresponsive	unresponsive
snR38		unresponsive	unresponsive
snR39		downregulated	downregulated_Hog1_independent
snR39B		unresponsive	unresponsive
snR4		unresponsive	unresponsive
snR40		unresponsive	unresponsive
snR41		unresponsive	unresponsive
snR42		unresponsive	unresponsive
snR43		unresponsive	unresponsive
snR44		downregulated	downregulated_Hog1_independent
snR45		unresponsive	unresponsive
snR46		unresponsive	unresponsive
snR47		unresponsive	unresponsive
snR48		unresponsive	unresponsive
snR49		unresponsive	unresponsive
snR5		unresponsive	unresponsive
snR50		unresponsive	unresponsive
snR51		unresponsive	unresponsive
snR52		unresponsive	unresponsive
snR53		unresponsive	unresponsive
snR54		downregulated	downregulated_Hog1_independent
snR55		downregulated	downregulated_Hog1_independent
snR56		unresponsive	unresponsive
snR57		downregulated	downregulated_Hog1_independent
snR58		unresponsive	unresponsive
snR59		unresponsive	unresponsive
snR6		unresponsive	unresponsive
snR60		unresponsive	unresponsive
snR61		unresponsive	unresponsive
snR62		unresponsive	unresponsive
snR63		downregulated	downregulated_Hog1_independent
snR64		unresponsive	unresponsive
snR65		unresponsive	unresponsive
snR66		unresponsive	unresponsive
snR67		unresponsive	unresponsive
snR68		unresponsive	unresponsive
snR69		unresponsive	unresponsive
snR7-L		unresponsive	unresponsive
snR70		unresponsive	unresponsive
snR71		unresponsive	unresponsive
snR72		unresponsive	unresponsive
snR73		unresponsive	unresponsive
snR74		unresponsive	unresponsive
snR75		unresponsive	unresponsive
snR76		unresponsive	unresponsive
snR77		unresponsive	unresponsive
snR78		unresponsive	unresponsive
snR79		unresponsive	unresponsive
snR8		unresponsive	unresponsive
snR80		unresponsive	unresponsive
snR81		unresponsive	unresponsive
snR82		unresponsive	unresponsive
snR83		unresponsive	unresponsive
snR84		downregulated	downregulated_Hog1_independent
snR85		unresponsive	unresponsive
snR86		unresponsive	unresponsive
snR87		unresponsive	unresponsive
snR9		unresponsive	unresponsive
SRG1		unresponsive	unresponsive
tA(AGC)H		unresponsive	unresponsive
tA(AGC)L		unresponsive	unresponsive
tA(AGC)P		unresponsive	unresponsive
tA(UGC)A	TGA1	unresponsive	unresponsive
tD(GUC)G1		unresponsive	unresponsive
tD(GUC)G2		unresponsive	unresponsive
tD(GUC)J4		unresponsive	unresponsive
tD(GUC)M		unresponsive	unresponsive
tD(GUC)N		unresponsive	unresponsive
tD(GUC)O		unresponsive	unresponsive
tE(UUC)C		unresponsive	unresponsive
tE(UUC)G1	SOE1	unresponsive	unresponsive
tE(UUC)G2		unresponsive	unresponsive
tE(UUC)J		unresponsive	unresponsive
tE(UUC)K		unresponsive	unresponsive
tE(UUC)M		unresponsive	unresponsive
tE(UUC)P		unresponsive	unresponsive
tF(GAA)D		unresponsive	unresponsive
tF(GAA)F		unresponsive	unresponsive
tF(GAA)G		unresponsive	unresponsive
tF(GAA)H1		unresponsive	unresponsive
tF(GAA)M		unresponsive	unresponsive
tF(GAA)P1		unresponsive	unresponsive
tF(GAA)P2		unresponsive	unresponsive
tG(CCC)O	SUF5	unresponsive	unresponsive
tG(GCC)D2		unresponsive	unresponsive
tG(GCC)G1		unresponsive	unresponsive
tG(GCC)O1		unresponsive	unresponsive
tG(GCC)O2	SUF17	unresponsive	unresponsive
tH(GUG)E2		unresponsive	unresponsive
tH(GUG)G1		unresponsive	unresponsive
tH(GUG)M		unresponsive	unresponsive
tI(UAU)D		unresponsive	unresponsive
tI(UAU)L		unresponsive	unresponsive
tK(CUU)M		unresponsive	unresponsive
tK(CUU)P		unresponsive	unresponsive
tK(UUU)D		unresponsive	unresponsive
tK(UUU)G1		unresponsive	unresponsive
tK(UUU)G2		unresponsive	unresponsive
tK(UUU)K		unresponsive	unresponsive
tK(UUU)L		unresponsive	unresponsive
tK(UUU)O		unresponsive	unresponsive
tK(UUU)P		unresponsive	unresponsive
tL(CAA)L		unresponsive	unresponsive
tL(CAA)N		upregulated	upregulated_Hog1_independent
tL(GAG)G		unresponsive	unresponsive
tL(UAA)J	SUP51	unresponsive	unresponsive
tL(UAA)L		unresponsive	unresponsive
tL(UAG)L1		unresponsive	unresponsive
TLC1		downregulated	downregulated_Hog1_independent
tM(CAU)E	IMT4	unresponsive	unresponsive
tM(CAU)J1	EMT5	unresponsive	unresponsive
tM(CAU)J2	EMT3	unresponsive	unresponsive
tM(CAU)M	EMT4	unresponsive	unresponsive
tM(CAU)O1	IMT1	unresponsive	unresponsive
tN(GUU)K		unresponsive	unresponsive
tN(GUU)N1		unresponsive	unresponsive
tN(GUU)P		unresponsive	unresponsive
tP(AGG)C	SUF2	upregulated	upregulated_Hog1_independent
tP(UGG)F	SUF9	unresponsive	unresponsive
tP(UGG)M	SUF7	unresponsive	unresponsive
tP(UGG)N2		unresponsive	unresponsive
tP(UGG)O3		unresponsive	unresponsive
tQ(CUG)M	CDC65	unresponsive	unresponsive
tQ(UUG)B		unresponsive	unresponsive
tQ(UUG)E1		unresponsive	unresponsive
tQ(UUG)E2		unresponsive	unresponsive
tQ(UUG)H		unresponsive	unresponsive
tR(ACG)D		unresponsive	unresponsive
tR(ACG)J		unresponsive	unresponsive
tR(ACG)K		unresponsive	unresponsive
tR(ACG)L		upregulated	upregulated_Hog1_independent
tR(UCU)E		unresponsive	unresponsive
tR(UCU)G2		unresponsive	unresponsive
tR(UCU)G3		unresponsive	unresponsive
tR(UCU)K		unresponsive	unresponsive
tR(UCU)M2		unresponsive	unresponsive
tS(AGA)B		unresponsive	unresponsive
tS(AGA)D3		unresponsive	unresponsive
tS(AGA)H		unresponsive	unresponsive
tS(AGA)J		unresponsive	unresponsive
tS(CGA)C	SUP61	unresponsive	unresponsive
tS(GCU)F		unresponsive	unresponsive
tS(GCU)L		unresponsive	unresponsive
tS(GCU)O		unresponsive	unresponsive
tS(UGA)E	SUP19	unresponsive	unresponsive
tS(UGA)P	SUP16	unresponsive	unresponsive
tT(AGU)B		unresponsive	unresponsive
tT(AGU)I1		unresponsive	unresponsive
tT(AGU)N1		unresponsive	unresponsive
tV(AAC)E2		unresponsive	unresponsive
tV(AAC)G3		unresponsive	unresponsive
tV(AAC)K2		unresponsive	unresponsive
tV(AAC)L		unresponsive	unresponsive
tV(AAC)M1		unresponsive	unresponsive
tV(AAC)M2		unresponsive	unresponsive
tV(AAC)O		unresponsive	unresponsive
tV(CAC)D		unresponsive	unresponsive
tV(UAC)D		unresponsive	unresponsive
tW(CCA)G1		unresponsive	unresponsive
tW(CCA)K		unresponsive	unresponsive
tW(CCA)P		unresponsive	unresponsive
tX(XXX)D		unresponsive	unresponsive
tY(GUA)D	SUP2	upregulated	upregulated_Hog1_independent
tY(GUA)F1	SUP11	unresponsive	unresponsive
tY(GUA)J1	SUP7	unresponsive	unresponsive
tY(GUA)J2	SUP4	unresponsive	unresponsive
tY(GUA)M1	SUP5	unresponsive	unresponsive
YAL001C	TFC3	unresponsive	unresponsive
YAL002W	VPS8	unresponsive	unresponsive
YAL003W	EFB1	downregulated	downregulated_Hog1_independent
YAL004W		upregulated	upregulated_Hog1_independent
YAL005C	SSA1	upregulated	upregulated_Hog1_independent
YAL007C	ERP2	unresponsive	unresponsive
YAL008W	FUN14	unresponsive	unresponsive
YAL009W	SPO7	unresponsive	unresponsive
YAL010C	MDM10	unresponsive	unresponsive
YAL011W	SWC3	unresponsive	unresponsive
YAL012W	CYS3	unresponsive	unresponsive
YAL013W	DEP1	unresponsive	unresponsive
