ensembl_gene_id	external_gene_name
tL(CAA)N	
tP(AGG)C	SUF2
tR(ACG)L	
tY(GUA)D	SUP2
YAL004W	
YAL005C	SSA1
YAL017W	PSK1
YAL028W	FRT2
YAL034C	FUN19
YAL060W	BDH1
YAL061W	BDH2
YAR027W	UIP3
YBL015W	ACH1
YBL029C-A	
YBL048W	RRT1
YBL049W	MOH1
YBL064C	PRX1
YBL075C	SSA3
YBL078C	ATG8
YBL086C	
YBL101C	ECM21
YBR001C	NTH2
YBR006W	UGA2
YBR014C	GRX7
YBR018C	GAL7
YBR024W	SCO2
YBR045C	GIP1
YBR046C	ZTA1
YBR047W	FMP23
YBR050C	REG2
YBR052C	RFS1
YBR053C	
YBR054W	YRO2
YBR056W	
YBR072W	HSP26
YBR085C-A	
YBR099C	
YBR114W	RAD16
YBR116C	
YBR117C	TKL2
YBR126C	TPS1
YBR128C	ATG14
YBR132C	AGP2
YBR139W	
YBR147W	RTC2
YBR149W	ARA1
YBR161W	CSH1
YBR169C	SSE2
YBR177C	EHT1
YBR182C-A	
YBR183W	YPC1
YBR212W	NGR1
YBR214W	SDS24
YBR221W-A	
YBR225W	
YBR230C	OM14
YBR241C	
YBR280C	SAF1
YBR284W	
YBR285W	
YBR287W	
YBR298C	MAL31
YBR298C-A	
YCL035C	GRX1
YCL039W	GID7
YCL040W	GLK1
YCL041C	
YCL042W	
YCL046W	
YCL048W-A	
YCR010C	ADY2
YCR030C	SYP1
YCR061W	
YCR068W	ATG15
YCR091W	KIN82
YDL019C	OSH2
YDL020C	RPN4
YDL021W	GPM2
YDL022C-A	
YDL022W	GPD1
YDL023C	
YDL024C	DIA3
YDL025C	RTK1
YDL026W	
YDL027C	
YDL079C	MRK1
YDL085W	NDE2
YDL091C	UBX3
YDL110C	TMA17
YDL113C	ATG20
YDL124W	
YDL130W-A	STF1
YDL142C	CRD1
YDL146W	LDB17
YDL149W	ATG9
YDL169C	UGX2
YDL181W	INH1
YDL199C	
YDL204W	RTN2
YDL206W	
YDL214C	PRR2
YDL216C	RRI1
YDL222C	FMP45
YDL223C	HBT1
YDL230W	PTP1
YDL234C	GYP7
YDL239C	ADY3
YDR001C	NTH1
YDR003W	RCR2
YDR003W-A	
YDR018C	
YDR034W-B	
YDR039C	ENA2
YDR040C	ENA1
YDR043C	NRG1
YDR058C	TGL2
YDR059C	UBC5
YDR069C	DOA4
YDR070C	FMP16
YDR074W	TPS2
YDR077W	SED1
YDR085C	AFR1
YDR096W	GIS1
YDR119W-A	COX26
YDR122W	KIN1
YDR171W	HSP42
YDR178W	SDH4
YDR185C	UPS3
YDR202C	RAV2
YDR204W	COQ4
YDR216W	ADR1
YDR223W	CRF1
YDR231C	COX20
YDR247W	VHS1
YDR251W	PAM1
YDR255C	RMD5
YDR258C	HSP78
YDR273W	DON1
YDR293C	SSD1
YDR306C	
YDR330W	UBX5
YDR342C	HXT7
YDR358W	GGA1
YDR368W	YPR1
YDR379C-A	SDH6
YDR380W	ARO10
YDR391C	
YDR406W	PDR15
YDR406W-A	
YDR435C	PPM1
YDR436W	PPZ2
YDR453C	TSA2
YDR461C-A	
YDR475C	JIP4
YDR479C	PEX29
YDR490C	PKH1
YDR513W	GRX2
YDR516C	EMI2
YDR530C	APA2
YDR533C	HSP31
YDR534C	FIT1
YDR535C	
YDR536W	STL1
YEL005C	VAB2
YEL011W	GLC3
YEL012W	UBC8
YEL020C	
YEL024W	RIP1
YEL039C	CYC7
YEL060C	PRB1
YEL073C	
YER020W	GPA2
YER035W	EDC2
YER037W	PHM8
YER039C	HVG1
YER039C-A	
YER053C	PIC2
YER053C-A	
YER054C	GIP2
YER062C	GPP2
YER065C	ICL1
YER066C-A	
YER066W	RRT13
YER067C-A	
YER067W	RGI1
YER079W	
YER096W	SHC1
YER103W	SSA4
YER121W	
YER150W	SPI1
YER175C	TMT1
YER181C	
YER182W	FMP10
YER188W	
YFL014W	HSP12
YFL015C	
YFL015W-A	
YFL016C	MDJ1
YFL021C-A	
YFL030W	AGX1
YFL041W-A	
YFL042C	
YFR003C	YPI1
YFR008W	FAR7
YFR014C	CMK1
YFR015C	GSY1
YFR017C	IGD1
YFR045W	
YFR049W	YMR31
YFR052C-A	
YFR053C	HXK1
YGL006W	PMC1
YGL010W	MPO1
YGL036W	
YGL037C	PNC1
YGL045W	RIM8
YGL051W	MST27
YGL052W	
YGL053W	PRM8
YGL059W	PKP2
YGL062W	PYC1
YGL063C-A	
YGL081W	
YGL104C	VPS73
YGL121C	GPG1
YGL125W	MET13
YGL127C	SOH1
YGL146C	RRT6
YGL156W	AMS1
YGL157W	ARI1
YGL158W	RCK1
YGL166W	CUP2
YGL179C	TOS3
YGL180W	ATG1
YGL227W	VID30
YGL229C	SAP4
YGL237C	HAP2
YGL250W	RMR1
YGL258W-A	
YGL259W	YPS5
YGR008C	STF2
YGR018C	
YGR019W	UGA1
YGR023W	MTL1
YGR043C	NQM1
YGR051C	
YGR052W	FMP48
YGR053C	
YGR066C	
YGR070W	ROM1
YGR086C	PIL1
YGR087C	PDC6
YGR088W	CTT1
YGR110W	CLD1
YGR111W	
YGR112W	SHY1
YGR121C	MEP1
YGR122W	
YGR127W	
YGR130C	
YGR131W	FHN1
YGR142W	BTN2
YGR143W	SKN1
YGR144W	THI4
YGR149W	
YGR161C	RTS3
YGR174W-A	
YGR194C	XKS1
YGR204C-A	
YGR205W	TDA10
YGR223C	HSV2
YGR225W	AMA1
YGR236C	SPG1
YGR237C	
YGR240C-A	
YGR241C	YAP1802
YGR243W	MPC3
YGR248W	SOL4
YGR249W	MGA1
YGR250C	
YGR255C	COQ6
YGR256W	GND2
YGR289C	MAL11
YHL015W-A	
YHL019W-A	
YHL021C	AIM17
YHL024W	RIM4
YHL035C	VMR1
YHL044W	
YHR001W-A	QCR10
YHR002W	LEU5
YHR004C	NEM1
YHR007C-A	
YHR008C	SOD2
YHR016C	YSC84
YHR017W	YSC83
YHR022C	
YHR033W	
YHR037W	PUT2
YHR075C	PPE1
YHR080C	
YHR082C	KSP1
YHR087W	RTC3
YHR094C	HXT1
YHR096C	HXT5
YHR097C	
YHR104W	GRE3
YHR105W	YPT35
YHR137C-A	
YHR137W	ARO9
YHR138C	
YHR139C	SPS100
YHR140W	
YHR160C	PEX18
YHR161C	YAP1801
YHR171W	ATG7
YHR193C-A	
YHR195W	NVJ1
YHR198C	AIM18
YHR202W	
YIL007C	NAS2
YIL017C	VID28
YIL029C	
YIL032C	
YIL033C	BCY1
YIL036W	CST6
YIL045W	PIG2
YIL053W	GPP1
YIL055C	
YIL056W	VHR1
YIL057C	RGI2
YIL077C	
YIL087C	AIM19
YIL097W	FYV10
YIL099W	SGA1
YIL100C-A	
YIL100W	
YIL101C	XBP1
YIL105C	SLM1
YIL107C	PFK26
YIL108W	
YIL111W	COX5B
YIL113W	SDP1
YIL136W	OM45
YIL155C	GUT2
YIL160C	POT1
YIR007W	
YIR014W	
YIR016W	
YIR017C	MET28
YIR017W-A	
YIR018C-A	
YIR032C	DAL3
YIR039C	YPS6
YJL016W	
YJL048C	UBX6
YJL052W	TDH1
YJL057C	IKS1
YJL066C	MPM1
YJL067W	
YJL070C	
YJL083W	TAX4
YJL089W	SIP4
YJL103C	GSM1
YJL106W	IME2
YJL107C	
YJL108C	PRM10
YJL132W	
YJL133C-A	
YJL141C	YAK1
YJL142C	IRC9
YJL144W	
YJL153C	INO1
YJL155C	FBP26
YJL161W	FMP33
YJL163C	
YJL164C	TPK1
YJL165C	HAL5
YJL166W	QCR8
YJL185C	ATG36
YJL199C	MBB1
YJL213W	
YJR008W	MHO1
YJR019C	TES1
YJR036C	HUL4
YJR038C	
YJR039W	
YJR059W	PTK2
YJR087W	
YJR091C	JSN1
YJR096W	
YJR115W	
YKL023W	
YKL026C	GPX1
YKL034W	TUL1
YKL035W	UGP1
YKL037W	AIM26
YKL065C	YET1
YKL065W-A	
YKL067W	YNK1
YKL085W	MDH1
YKL091C	
YKL093W	MBR1
YKL096W	CWP1
YKL097C	
YKL103C	APE1
YKL107W	
YKL121W	DGR2
YKL123W	
YKL124W	SSH4
YKL129C	MYO3
YKL133C	
YKL142W	MRP8
YKL148C	SDH1
YKL150W	MCR1
YKL151C	
YKL162C	
YKL163W	PIR3
YKL168C	KKQ8
YKL171W	NNK1
YKL188C	PXA2
YKL193C	SDS22
YKL217W	JEN1
YKR011C	
YKR039W	GAP1
YKR046C	PET10
YKR049C	FMP46
YKR058W	GLG1
YKR067W	GPT2
YKR076W	ECM4
YKR089C	TGL4
YKR091W	SRL3
YKR098C	UBP11
YLL019C	KNS1
YLL020C	
YLL023C	POM33
YLL026W	HSP104
YLL039C	UBI4
YLL041C	SDH2
YLR006C	SSK1
YLR012C	
YLR030W	
YLR031W	
YLR042C	
YLR080W	EMP46
YLR081W	GAL2
YLR108C	
YLR111W	
YLR120C	YPS1
YLR149C	
YLR151C	PCD1
YLR152C	
YLR164W	SHH4
YLR174W	IDP2
YLR176C	RFX1
YLR177W	
YLR178C	TFS1
YLR219W	MSC3
YLR225C	
YLR251W	SYM1
YLR252W	
YLR257W	
YLR258W	GSY2
YLR267W	BOP2
YLR269C	
YLR270W	DCS1
YLR271W	
YLR284C	ECI1
YLR311C	
YLR312C	
YLR327C	TMA10
YLR345W	
YLR350W	ORM2
YLR352W	
YLR356W	ATG33
YLR414C	PUN1
YLR415C	
YLR417W	VPS36
YLR438W	CAR2
YLR446W	
YML002W	
YML003W	
YML004C	GLO1
YML054C	CYB2
YML057C-A	
YML070W	DAK1
YML099W-A	
YML100W	TSL1
YML120C	NDI1
YML127W	RSC9
YML128C	MSC1
YML131W	
YMR030W	RSF1
YMR031C	EIS1
YMR031W-A	
YMR034C	
YMR037C	MSN2
YMR040W	YET2
YMR053C	STB2
YMR068W	AVO2
YMR081C	ISF1
YMR084W	
YMR085W	
YMR087W	
YMR090W	
YMR103C	
YMR104C	YPK2
YMR105C	PGM2
YMR107W	SPG4
YMR110C	HFD1
YMR114C	
YMR133W	REC114
YMR135C	GID8
YMR139W	RIM11
YMR140W	SIP5
YMR152W	YIM1
YMR160W	
YMR169C	ALD3
YMR170C	ALD2
YMR173W	DDR48
YMR173W-A	
YMR174C	PAI3
YMR175W	SIP18
YMR175W-A	
YMR181C	
YMR191W	SPG5
YMR194C-B	CMC4
YMR195W	ICY1
YMR196W	
YMR206W	
YMR250W	GAD1
YMR251W	GTO3
YMR251W-A	HOR7
YMR261C	TPS3
YMR262W	
YMR271C	URA10
YMR280C	CAT8
YMR284W	YKU70
YMR291W	TDA1
YMR302C	YME2
YMR304W	UBP15
YMR315W	
YMR316W	DIA1
YMR322C	SNO4
YMR323W	ERR3
YNL007C	SIS1
YNL011C	
YNL025C	SSN8
YNL036W	NCE103
YNL045W	LAP2
YNL092W	
YNL093W	YPT53
YNL097W-A	
YNL098C	RAS2
YNL100W	MIC27
YNL115C	
YNL125C	ESBP6
YNL156C	NSG2
YNL159C	ASI2
YNL160W	YGP1
YNL192W	CHS1
YNL193W	
YNL194C	
YNL195C	
YNL200C	
YNL214W	PEX17
YNL223W	ATG4
YNL237W	YTP1
YNL242W	ATG2
YNL274C	GOR1
YNL305C	BXI1
YNR001C	CIT1
YNR002C	ATO2
YNR007C	ATG3
YNR014W	
YNR034W	SOL1
YNR034W-A	
YNR047W	FPK1
YNR060W	FRE4
YNR069C	BSC5
YOL013C	HRD1
YOL016C	CMK2
YOL024W	
YOL032W	OPI10
YOL048C	RRT8
YOL052C-A	DDR2
YOL082W	ATG19
YOL083W	ATG34
YOL084W	PHM7
YOL085C	
YOL085W-A	
YOL087C	DUF1
YOL096C	COQ3
YOL117W	RRI2
YOL131W	
YOL143C	RIB4
YOL151W	GRE2
YOL153C	
YOR005C	DNL4
YOR018W	ROD1
YOR019W	
YOR020W-A	
YOR027W	STI1
YOR028C	CIN5
YOR036W	PEP12
YOR052C	TMC1
YOR054C	VHS3
YOR062C	
YOR065W	CYT1
YOR100C	CRC1
YOR120W	GCY1
YOR132W	VPS17
YOR134W	BAG7
YOR137C	SIA1
YOR152C	
YOR161C	PNS1
YOR161C-C	
YOR162C	YRR1
YOR173W	DCS2
YOR178C	GAC1
YOR185C	GSP2
YOR186W	
YOR219C	STE13
YOR220W	RCN2
YOR223W	DSC3
YOR227W	HER1
YOR245C	DGA1
YOR273C	TPO4
YOR289W	
YOR292C	
YOR298C-A	MBF1
YOR317W	FAA1
YOR345C	
YOR347C	PYK2
YOR348C	PUT4
YOR374W	ALD4
YOR376W-A	
YOR386W	PHR1
YOR391C	HSP33
YOR392W	
YPL003W	ULA1
YPL004C	LSP1
YPL014W	
YPL017C	IRC15
YPL054W	LEE1
YPL057C	SUR1
YPL060W	MFM1
YPL061W	ALD6
YPL062W	
YPL100W	ATG21
YPL109C	
YPL113C	
YPL119C	DBP1
YPL119C-A	
YPL123C	RNY1
YPL152W	RRD2
YPL154C	PEP4
YPL166W	ATG29
YPL186C	UIP4
YPL196W	OXR1
YPL203W	TPK2
YPL219W	PCL8
YPL221W	FLC1
YPL222C-A	
YPL222W	FMP40
YPL223C	GRE1
YPL229W	
YPL230W	USV1
YPL240C	HSP82
YPL247C	
YPL280W	HSP32
YPR026W	ATH1
YPR030W	CSR2
YPR036W-A	SPO24
YPR061C	JID1
YPR115W	RGC1
YPR145C-A	
YPR149W	NCE102
YPR150W	
YPR155C	NCA2
YPR158W	CUR1
YPR160W	GPH1
YPR184W	GDB1
